Original;Conceptos
notre;
yang;philosophies,related,principle,element,yin-yang
edwin;edwina
waypierce;
gautam;
alltoofew;
renart;
everythingthings;
serpentine;curving,anguinea,cubic,alternate,attribute,curved
masturbation;orgasm,masturbatory,erotic,stimulation,vain
masterpiecewait;
diditisexcellent;
brimley;
retirement;departure,retired,seclusion,retire,withdrawal
lates;genus-Lates,lates,barramundi,late,lates-niloticus,fish,nile-perch
brank;bit,prance,buckwheat,tongue,branks
classroom;room,school,class
hinduism;india,hindu,philosophy,nature
orchestral;orchestra,music
gnaw;erode,bother
equality;equal,equivalence-relation,fairness,equal
ahead;in-front,in-the-lead,forrader,out-front,forward,advance,front,onward,ahead-of
truei;
tensionthe;
tanigawa;
vh;
obviousness;obvious
shoestring;shoelace,julienne,food,long,narrow,string,julienne
rider;passenger,horseman,passenger,bishop,allonge,vein
unique;singular,unparalleled,characteristic,unmatched,kind,unicity,unusual,specific
geographically;geography
thier;
noteworthy;notable,notice,worthy,attention,significant,notable,remarkable
sarandens;
politicalhistorical;
movieis;
gamely;bravely,spirited,game,sportive,plucky,lively
cadillac;saskatchewan,maine,brand,canada,luxury
idiotically;idiotic
didnt;
p;phosphorus,problem,set,page,methamphetamine,pawn
two;deuce,2,number,pair,double,twice,twin
oni;Office-of-Naval-Intelligence
radiofreccia;
unwed;unwedded,unmarried,bachelor,spinster,married,annul
digitize;digitization,sequence,digital,represent,analog
syndication;syndicating,newspaper,feature
afghanistan;afghan,south-asia,central-asia,afg
andrew;Saint-Andrew-the-Apostle,canada,apostle,kendrew,enderson,tancock
intercessor;mediator,intercession,reconcile,intercede,intercessory,bishop
limitation;limit,restriction,prescription,action,limitative,imperfection,limiting
viaje;
rebel;greyback,insurgent,maverick,confederate,american-civil-war,resist,violently
harrowingly;harrowing,harrowingness
thriller;play,film,genre,book,chiller
bali;east,island,java,indonesia
welllaid;
populer;
month;calendar-month,year,time,days,thirty,thirty-days
effectivethough;
fminusthis;
emy;
normality;normalcy,distribution,normal-distribution,usual
exlovers;
breakneck;hell-for-leather,fast,dangerous
gon;polygon
pectoral;organ,conspicuously,cross,high-priest,breastplate
disparity;unalikeness,incongruity,difference,unequal,between
brake;bracken,car,car,stopping,fern,flax
troublemaker;trouble,deliberately
boyben;
pointbut;
cliched;unoriginal
issuesthey;
obsess;haunt,obsession,talk
max;soap,maxi,max,maxine,maximum,very,full-blast
godfather;godparent,godchild,godson,baptism
sirupdate;
symmetry;isotropy,arrangement,distribution,axis,plane,correspondence
stardust;cosmic-dust,cluster,space,matter,distant,star
hiss;boo,boo,disapproval,hissing,eject,snake
alleni;
gulch;canyon,valley
madefortv;
performancesi;
broadcast;circulate,air,transmit,electronic,documentary,widely,widely,radio-wave
kananga;
animelike;anime
tucker;Sophie-Tucker,exhaust,Benjamin-Ricketson-Tucker,living-wage,tire-out,food,fuller,best-bib-and-tucker
spain;appendix:place-names-in-spain,kingdom-of-spain,country,spaniard,ancestry
olympicsi;
cathedral;church,big,building,large,big-church
choppy;wave,chops,sudden,stormy
kiddy;tease,kid
comedyonce;
momthere;
actionoriented;
chanwook;
blethyn;
cicely;myrrhis-odorata,cecilia,sweetroot,apiaceae
instic;
committee;group,people,decision
jawdropping;
tashan;
overseasi;
bitch;backbite,cunt,gripe,other,place,particularly
droppingly;drop
composure;matter,mind
attune;tune,harmony,instrument,accord
supposei;
cossack;kazakh,caste,kazakhstan,cavalry,tsarist
intelligent;level-headed,well-informed,smart,precocious,thought-out,searching,scintillating,bright,agile,apt
also;too,likewise,as-well,too,as-well,well,addition,in-addition
clouseau;
hamilton;Lady-Emma-Hamilton,Sir-William-Rowan-Hamilton,Alexander-Hamilton,Alice-Hamilton,south-lanarkshire,steuben-county,australia,indiana,michigan
snl;
lm;lumen,lem,light-microscopy,light-microscope,sm,layout-manager,lh,lng,rp-1,lox
heston;hounslow,london
dopey;gooselike,silly,stupid
faraway;far-off,distant,far-and-away,distant
dresslers;
segal;George-Segal
famein;
crackersi;
translator;interpreter,version,transfer,machine-translation
assault;rape,attack,assail,rape,crime,tort,attack,threaten,battery
bothon;
samethe;
adam;Robert-Adam,macadam,eve,aikin,aiken,progenitor
sight;view,batch,scope,see,sense,vision,eyes,seeing
porno;pornography,pornographically,pornographic,pornographer,porn,pornography
dirk;dagger,dork,stab,derek
pauly;paul,diminutive
dragsfulcis;
detract;take-away,defame,remove,reputation,defame,credit
englishman;native,descent,english,birth,naturalisation,englishwoman
smalltime;
fetishist;kinkster,talisman,sexual,fetish
baler;cotton,feed,hay,operate,bale
avati;
lowliest;
want;need,desire,need,privation,lack,desire,need
guynow;
cohen;descendant,priest,moses,aaron,biblical
pajama;pajamas,pyjama,pajamas
welllong;
porteau;
minimalism;minimalist,music,form,simplicity,trance
intriguea;
roommatesdiana;
bronx;gin,orange-juice,borough,cocktail
datd;
hopefully;hopeful
bicycle;push-bike,tricycle,motorcycle,like-riding-bicycle,saddle
assessment;appraisal,judgment,duty,assessed,assess
victoreveryone;
blissfully;joyful,happy,blissful
mouse;sneak,cursor,computer-screen,rodent,pad,clasp,rat,joystick
againif;
outcastscriminals;
coproduced;
cadby;
playthey;
snap;break-down,photograph,gingersnap,crack,snap-bean,fingers,center,hike,decision
ofsanechaos;
crimefighting;crime,crime
assumption;premise,presumption,assume,catholic,unwarrantable,festival,jesus
insistence;insistency,imperativeness,insist,parry
naor;
collectible;collectable,collect,collecting,collectable
mcgavin;
already;yet,prior,soon,time
avp;seaplane-tender,seaplane,cv
footage;film,measurement,tape
everit;
homogenize;blend,puree,cream,milk,homogenization
nomination;nominating-speech,nominate,denomination,nominee
enclose;envelop,insert,encircle,envelope,fence,enclosable
proud;majestic,haughty,pride,immodest,raised,arrogant,prude,vainglorious,purse-proud,house-proud,self-aggrandising,self-important
offputting;
sweetness;bouquet,pleasantness,sweet,sweet,pleasant,sugary,kindness
persuade;carry,sway,agree,accept,attract
spongelike;squashy,spongy,sponge,absorbent
via;by-way-of,viator,by-means-of,metal
vision;sight,envision,imagination,footage,imaginary,ideal,sight,beauty
west;Benjamin-West,West,Cicily-Isabel-Fairfield,Occident,western-bloc,church,european-union,state,east,westernmost,western,westside,westerly,westbound
andrzej;
winchell;
parton;constituent,quarks,particles,hadrons
schtupp;
florida;tallahassee,southeasternmost,jacksonville,united-states-of-america
searcher;seeker,idler,bore,london,strainer
jjs;
twoanother;
unguarded;protection,guard,unwary,vulnerable
pumpkin;pumpkinification,plant,foliage,calabaza,orange
daphne;genus,apollo,laurel
joanie;joan
poli;
vineyard;winery,plantation,viticulture,grape
appallingly;stunningly,terribly,dreadfully,awfully,ghastly,appalling
alsothe;
shamble;shuffle,shuffle,niche,shuffling,platform,ore
discussion;discuss,conversation,debate,conversation
godzilla;monster,large,dramatic,japanese
erotic;titillating,amorous,poem,eroticism,eroticise,erotomania
ordinarily;unremarkably,normally,manner,general,unexceptionally
classification;categorization,class,segment,classic,attribute
fitch;polecat,mustela-putorius,european-polecat,skin
selfimportant;
infect;pathogen,infectious
placard;poster,door,plate,paper,backplate
zerobudget;
numerous;many,numerically,indefinitely,large,many,number,many
barge;lighter,canal,mess,mizen,rower
abject;miserable,unhopeful,outcast,hopelessness,servile,abjectly,submissive,unfortunate
barbara;syllogism
deputy;sheriff,dáil-éireann,miner,substitute,corps-législatif
thesei;
marriag;
ascend;climb-up,move-up,rise,ascendant,climb,succeed,transcend
animatronic;animatronics
astronomical;astronomic,astronomic,astronomy,vast,large,large
clansman;clan,clanswoman
chemical;chemistry,artificial,chemical-element,chemical-compound
timeeven;
cynical;misanthropic,cynic,standard,self-control,contemptuous,philosopher
ernie;premium-bond,united-kingdom
halflovelythe;
gussie;
private;intimate,individual,esoteric,personal,secret,rank,one-on-one,toffee-nosed,confidential,closed-door,clannish
chad;Lake-Chad,graffiti,punch,central-africa,stationery
brow;eyebrow,forehead,hilltop,eyebrow,eyebrow,steep,hinged,eye
viewhis;
overthetop;
apache;apachean,web-server,chiricahua,plains-apache,athabascan,helicopter
various;diverse,assorted,respective,variant,different,varied
puberty;prepubescent,plant,peripubescent,hormone,phase,adolescence
zabriskie;
dassins;
tamiroff;
acre;cawney,english,system,standardize,plowing,day
dramatics;dramaturgy,histrionics,dramatic,stagecraft,acting
esoterics;esoterica
ealing;greater-london,borough,london
bill;poster,bill-hook,beak,circular,placard,payment,money,paper,dollar,invoice
welldocumented;
cary;carey,diminutive,surname,parrett,england
geneticist;treat,counsel,scientist,diagnose,patient
schmuck;prick,dork,dick,putz,jerk,detest,useless,schlemiel
meanning;
humiliate;humiliation,humility,humble,self-respect
haskell;purely-functional,usa,texas,county-seat
rosalina;
inclinedthe;
krocand;
fx;fx,visual-effects,sound-effects
inskip;
lorna;
jhankar;
firstrate;
julie;julie
arness;
jjaks;
bestow;lend,confer,stow,present,use
burroughs;Edgar-Rice-Burroughs,William-Seward-Burroughs,William-S.-Burroughs,hill,fort,burrows
knuckle;finger,joint,convex,canal-boat
muckid;
menageatrois;
apodictic;apodeictic,true,certain,incontrovertible
inventive;imaginative,creative,invention,inventor,inventing,invent
success;achiever,aim,arkansas,respect,goal,financial
protester;dissenter,demonstrator,singly,dissident,note,feeling,dissenter
instead;alternatively,substitute,alternative,other,than
soderberghs;
christys;
nervous;queasy,aflutter,skittish,nerve,nervosity,edgy,agitate,anxious,tense
intimate;informal,versed,confidant,internal,suggest,acquaint,personal,close,discreet,relationship,personal,sexy,close,sexual
creamy;horse,cream,coat,thick,chromatic
furthermore;what-is-more,moreover,besides
digestible;edible,digested,predigested,assimilable,light
freely;openly,will,noble,free,lovely
rls;
golfyou;
familypartner;
gambit;ploy,advantage,piece,chess,sacrificed
hyde;hyde,town,greater-manchester,hide,cheshire
guyand;
post;mail,mail,Wiley-Post,station,mail,fence,after,office,pole,get
carve;cut
prefer;choose,preferred-creditor,preferable,preferendum,preferer
taut;rope,brief,anxiety,relevant,tension,tense
rangi;
speech;address,manner-of-speaking,language,lecture,speak,dialect,communicate
googie;american,futurist,architecture,commercial,modern
dame;knight,sir,equivalent,melodramatic,pantomime,madam,damsel,woman,lady,sir
physiqueforget;
requiem;dirge,large,carcharhinidae,mass,shark,honor,dirge
vince;given-name,vincent
loner;alone,misanthrope,lack,company
surgical;surgery,accurate,precise,surgeon,postoperative,preoperative,accurate
puddle;addle,make,pool,grit,homogeneous
homemade;home,oneself,diy,made,do-it-yourself,homespun,home-brewed,home-baked,home-cured
endorse;back,second,certify,cashing,dorsal,back
verbally;verbal,word,speak
rank;egregious,rank-and-file,out-and-out,membership,social-station,military,army,level,position,classification,offensive,fertile,abundant
longawaited;
sooooo;
doctormr;
anger;wrath,emotion,mad,urge,hostility,anxious
wagonmaster;wagon,man,wagonmistress
hawaii;hawaiian-islands,oahu,oceanian,oceania,united-states-of-america
heartno;
da;district-attorney,daddy,pa,father,yes
precursor;harbinger,predecessor,chemical-reaction,intersymbol,cursor,predecessor
thatkaryn;
tr;cr,nr,wr
pittsburgh;pit,pittsburgh,pennsylvania,county-seat,usa,allegheny-county
tvie;
adhoc;
imago;adult,basis,archetype,metamorphosis,insect
grenade;pomegranate,explosive,grenado,fireball
denigrate;defame,minimize,degrade,besmirch,traduce
allbad;
candle;wax,candid,pine,candela,embryo
ammunition;rocket,firearms,percussion-cap,powder
underamong;
aloneeven;
finesse;delicacy,whist,crafty,elegance,property
malayalam;kerala,india,lakshadweep,dravidian
martz;
timesstill;
flood;deluge,flood-tide,Noah-and-the-Flood,water,rising-waters,receding-waters,water,menses
panther;jaguar,cougar,cougar,florida-panther,leopard,panthera
duchenne;
practically;almost,completely,in-practice,almost,in-reality
moviesart;
objective;aim,lens,goal,camera,reality,fact,real,concrete,clinical,impersonal,verifiable
homophobia;misanthropy,homophobic,gynophobia,homophobe,homophobe
cral;
nonesense;
morte;
chans;
selfconscious;
blend;frankenword,mingled,mingle,insensibly,mix
entertainerhardy;
lion;Leo,animal,obverse,shilling,big-cat,india,cougar,cub
picture;movie,visualize,mental-picture,word-picture,photo,image,photograph,frame,camera,image
bock;beer,minnesota
norfolk;norfolk,norfolk-county,massachusetts,suffolk,dukedom
tangoand;
materialit;
rr;brazil,road-race,railroad,reverse-racism,vr
deaf;deafen,sign-language,inaudible,hear,blind,tone-deaf,deaf-and-dumb,profoundly-deaf,deafened,hearing-impaired
praed;
againnot;
timeyou;
sameyours;
ridicule;derision,ridiculous,ridiculosity,scornful
atmospherethe;
unapologetic;nonapologetic,unapologetic,appropriate,apologetic
recursive;function,program,formula,expression,algorithmic
amelio;
darby;derby-slicker,derby,derby-float
dose;venereal-disease,drug,acid,measured,dosage,disagreeable,venereal,prescribe
oneyou;
inon;
polari;cant,parlyaree,talk,romani
divulge;disclose
girltodiefor;
africanamericans;
progressively;more-and-more,progression,progressive
rue;repent,sorrow,regret,pity,remorse
pergado;
extra;additional,supernumerary,supererogatory,special,additional,normal,over-top,bye
gravy;pan-gravy,boom,sauce,brown-sauce,stock,meat
affirm;confirm,encourage,concur,affirmative,assert,affirmative-action
barcelona;catalonia,spain,barcelona,spain
joe;coffee,cup-of-joe,guy,josephine,male
bentleys;
catherine;Catherine-the-Great
derivative;derived-function,derivative-instrument,derive,slope,option,asset,financial-instrument,derived
abscond;steal-away,secretly,flee,sconce
isolationist;isolationism,isolationism
prvert;
dilettante;dilettanteish,dabbler,dabbler,dabble,delectable,dildo,delight,amateur
surprisedthis;
devastate;lay-waste-to,ruin,devastation,devastavit
cnn;cnn,rnn,ann,channel
palma;palma-de-mallorca,majorca,balearic-islands
mohd;
ardent;impassioned,ardor,ardent-spirits,full,fervent,glowing,bright,enthusiastic
shortmr;
replace;supplant,substitute,eliminate,substitute,supply
doc;Department-of-Commerce,doctor,doc,doctor,document,documentation,nickname,medical-doctor
energy;Department-of-Energy,power,solar,electricity,force,fuel
speaker;loudspeaker,speak,speech,person,stereo,talker
pixars;
stoogeeven;
themin;
zombi;automaton,zombie,zombi
rockefeller;John-Davison-Rockefeller
synthesizer;synthesist,oscillation,oscillator,device,keyboard
americanism;usonianism,represent,phrase,preference,custom,united-states
physician;doctor,doctor,human,surgeon,doctor,physicist
gisaburos;
axe;ax,ax,tool,gig,rock,england
sorcerer;wizard,magician,sorcery,magician,sorceress,wizard,ensorcel
filmthen;
complacent;self-satisfied,smug,self-complacent,complacency,complacence,satisfied
barbet;piciformes,dog,order,breed
frontman;lead,band,singer
morality;ethical-motive,morals,ethics,moralise,moral,moralism,morale,guiding
explinations;
kicker;kicker,kicker,two-pair,three-of-kind,country,pruno,situation
caper;antic,play,crime,heist,jump,jump
runway;track,catwalk,artificial
kryptonite;achilles-heel
etcby;
sheriff;county,official,carry-out,judge
presentationplanets;
reptilian;reptile,reptilious,reptilelike,cold-blooded,secretly,purport,member,cold-blooded,reptile
greenlighted;
edgeif;
hebrewthough;
mo;Missouri,molybdenum,moment,mo,month,mail-order,more,moment
snobby;snobbish,clannish,snob,snobbishness,snobbism,snobbiness,snobbery
insidethe;
nicelooking;
toiletfirst;
distractingthe;
hmm;pondering,hrmph,hmph,humph
likely;probable,in-all-probability,potential,possible,probable,very,chance,promising,credible,probable,liable
implant;plant,tissue,prosthesis,womb,implantation
oconnor;
fifty;50,fifty-dollar-bill,batsman,fifty-one,forty-nine
beachhead;territory,captured,hostile,railhead,area
flordia;
personaspenelope;
isabel;ibbotson,ibbett,ibbott,tibbotts,hibbett
unanticipated;out-of-the-blue,anticipated
pruzan;
richard;higson,ritch,icke,rickson,dickison
ancestor;forefather,progenitor,predecessor,forefather
simian;simious,monkey,ape,anthropoid,ape,apelike
cleverly;fully,completely,tricky
cate;diminutive,delicacy,kate,catherine
kasadya;
yes;flatter,joy,approve,nod
sheeba;
boothe;
anticinderella;
sweatshop;factory
movienot;
tenchu;
loony;crazy,around-the-bend,absurd,insane,silly,lunatic
hp;horsepower,hire-purchase,higher-power,hit-points,horse-power,india
dovetail;interlocking,together,boards,simultaneous,joint,finger-joint
seinfeld;
youd;
ispeople;
oppressive;humid,difficult,exercising,overwhelming,tyrannical,heavily,heavy,domineering
smooth;polish,unruffled,legato,suave,even,simple,fine,slippery,compound,easy,sinuate,glassy,undulate,unseamed
penny;old-penny,cent,d,p,coin,one-cent
savagely;viciously,brutally,wild,savage,uncontrolled
shen;
fertile;productive,prolific,productive,fruitful,potent,abundant,prolific,fecund,fertilizable,rank,impregnable
nightclub;cabaret,open,dancing,drink,public,night
fxi;
fit;primed,equip,burst,meet,suit,shape,healthy,well,healthy,appropriate,in-condition,worthy,acceptable,suitable,able-bodied
geoffrey;jefferson,geoff,godfrey
credit;recognition,citation,credit-rating,accredit,title,distinction
fiver;television,muslim,banknote
seventeen;17,eighteen,xvii,sixteen
ernst;Max-Ernst,ernst
kidhow;
fart;blow-off,flatus,flatulate,let-one-rip,trouser-cough,old-fashioned,flatus,elderly,flatulate
macdowellis;
fing;
sexiness;amorousness,sexy,sexuality
sprightly;gay,vigor,vigorous,vivacious,vigor,spirited
functional;usable,serviceable,function,argument,useful,functioning,utilitarian,practical,structural
dayskeith;
fortify;arm,spike,strengthen,spirit,fortification,fortress,strength,impart
ballroom;banquet,elegant,room,dance,ballroom-dancing
quo;
toby;valve,inferior,mug,genus,superintendent
panache;dash,style,dash,dash,plume,helmet,energetic
africa;roman-empire,appendix:place-names-in-africa,europe,continent,antarctica
funyou;
worksgloria;
zeder;
hunky;square,even,hunk,chunky
carlo;charles,carl
classicmeatballs;
larceny;attempt,larcenist,unlawful,property,larcenous
bigname;
spaceballs;
lara;laura,larissa
pakistani;pakistan
writerdirector;
vocalize;articulate,voice,outspeak,voice,words,throat,utter,express
stave;rung,staff,drive,rung,rundle
parka;jacket,anorak,windcheater,hood
hemingway;Ernest-Hemingway
vindictive;vengeful,despiteful,revengeful,revengeful,vindicate,vindication,seek,vengeful
vanish;fly,disappear,vain,terminal,invisible,disappear
soske;
environmentalismor;
void;null,nothingness,invalidate,invalidate,evacuate,empty,effect,galaxy,empty
local;local-anesthetic,nearby,here,locative,locus,topical,localized
dynamic;active,moral-force,energetic,loudness,motion,fientive,volume,propellent,projectile,can-do,high-powered,impulsive
nikki;given-name,nicole,nicola,diminutive
fro;away,from,back,afro,backward
topnotch;first-rate
websiteimdb;
attribute;property,assign,impute,noun,semantic,ascribe,setting
monogram;mark,intertwined,mark
dcgi;
natalie;noel,natasha,noelle,natalitial,natalia
bullshwell;
trigger;trip,gun-trigger,operated,lever,cymbal,traumatic,incite
pterodactyl;pterosaur,genus
againso;
say;allege,order,state,suppose,pronounce,speak,talk,tell,utter,talking
sublime;empyreal,reverend,noble-minded,majestic,impressive,sublimation,subliminal,awe-inspiring,maximal,elated
blandick;
gorey;
cesspool;filthy,underground,pit
diva;prima-donna,celebrity
alistair;alexander,alasdair
baptism;anoint,baptiser,ceremony,re-baptise
beasleythe;
wm;
gunnisons;
questioncats;
malfatti;gnocchi
elapse;lapse,pass,relapse
unstoppable;stop,unbeatable
disciplinealways;
collector;collection,collect,mafioso
larter;
jeyaraj;
wwi;world-war-i,wwii
significant;important,appreciable,important,meaningful,signify,signification,noticeable,world-shattering,monumental,considerable,probative,noteworthy
comahats;
unbalance;imbalance,derangement,unbalanced,imbalance,balance
awaythe;
merit;deservingness,deserve,token,earn,meritorious,approbation,recognition
braveheart;braveheart,brave,brave,brave
universethe;
atm;asynchronous-transfer-mode,standard-atmosphere,cash-machine,pin
silhouette;outline
childrens;
lonesome;solitary,lonely,dejected,lonely
historyquote;
jail;incarcerate,imprison,imprison,instance,claiming-race,guest,big-house
nuanced;pattern,nuance,detail,layer,meaning
malign;badmouth,malefic,evil,maleficent,harmful,unkind,influence,evil,cancerous
onesince;
huntingdon;cambridgeshire,tennessee,county-town,usa,pennsylvania
trekanne;
destroyer;destroy,warship,armament
dope;dumbbell,pot,cola,etc,affect,addiction,balloon,dopant
amenity;agreeableness,welcome,circumstance,pleasantness
bedroomfor;
redo;remake,remodel,do,again,refurbishment
himweve;
celebration;celebrant,sacrament,rite,celebrat,celebrity
donlans;
briefly;concisely,in-short,summarily,brief
nightonwhitehorse;
groin;breakwater,crease,genitals,vaults,inguinal
canaanite;canaanites,philistines,israelites,canaan,canaanism
tooanyway;
whoever;whomever,who,nobody
aggh;
attwood;
vanilla;normophilic,flavour-extract,flavor,standard,basic,orchid,plain
stoltz;
mishandle;mismanage,botch,incorrect,injury,handle
district;zone,district,area,city,school,division,region
hickman;kentucky,fulton-county,county-seat,usa
dayi;cāngjié-method,cāngjié,dayi-method
legged;leg,leg,type,leg,number,straight-legged,three-legged,leglike
mock;mockery,prototype,imitation,taunt,counterfeit
zj;
sparkly;bubbling,scintillating,lively,effervescent,light,spark,glittery
pathetic;ridiculous,misfortunate,pathos,pity,contemptible
aneurysm;swelling,artery,abnormal,vein
zerostar;
godlike;god,superhuman,heavenly
remix;cosmetic,rearrangement
spiritually;soul,spirit
qualityno;
harass;molest,plague,beset,worry,heckle,annoy,molest
sombra;
celia;
revolutionary;rotatory,revolutionist,revolution,revolutionize,revolutionist,revolt,revolve,new
wifey;wifely,uxorial,wife,wife
protection;auspices,protective-covering,security,protect,be-prepared,condom,coverage
pugh;
themselvesthis;
deprave;corrupt,depravity,depravation,depreciate,corrupt,depraved
samuel;hebrew,tanakh,old-testament
bluntthe;
displayits;
thoroughly;exhaustively,thorough,complete,perfectly,soigneusement
seefear;
inarticulate;uncommunicative,articulation,speechless,inarticulata,articulated,unarticulated,aphasic,tongue-tied,voiceless,speechless
suyins;
forththroughout;
item;detail,detail,token,line,text,agenda
brutality;ferociousness,cruel,savage,brutal,excessive
frisbys;
whiner;whinger,bellyacher,crybaby,complainer,whine
rhysmeyers;
mendoza;argentina
woking;england,town,surrey
blackadder;blackadder,english,surname
argument;parameter,argumentation,controversy,argue,arguer,arguable,matter
gamera;
enchant;capture,hex,delight,charm,spell
chrissy;christmas
masakmasak;
klingon;loyalty,alien,ridge,race
friction;clash,rubbing,motion,tribology,tendency
honestly;candidly,really,be-honest,honest,frankly
negatively;positive,damaging,negative
woodland;forest,vegetation,land
epilepsy;falling-sickness,grand-mal,petit-mal,blackout,convulsion
suppress;oppress,bottle-up,suppression,prohibit,repress,stream,expression
everanyway;
notorious;ill-famed,notoriety,negative,infamous,widely,infamous
divorceraise;
carl;churl,minnesota
avpr;
banker;money,job,bank,banksman,ditcher
grandmotherthe;
contaminate;pollute,foreign,unfit,impurities
mangas;manga
carerra;
debrief;intelligence,learn,project,question,mission
hit;score,stumble,shoot,collision,strike,sex,backgammon,punch,base
research;inquiry
uninhibited;uninhibited,unreserved,unrestrained,inhibition,inhibited,unrepressed,abandoned,earthy,unsuppressed
slouch;slump,posture,limp,hang
attitudejust;
entertain;harbor
bigotry;obstinate,intolerant,prejudice,bigot
untrustworthy;inaccurate,dishonest,unreliable,unfaithful,deserve,unreliable,tricky,devious,fly-by-night
sheesh;exasperation
beaty;
maybe;pro-sentence,possible,uncertain
tearsmy;
springwood;earlywood,season,growth,summerwood,wood,ring
internment;impoundment,imprisonment,confine
psychiatry;behavioural,diagnose,psychopathology,medicine
critique;review,criticism,review,critic,essay
royalor;
prevail;predominate,widespread
rempit;
sleepwalk;sleepwalker,sleepwalking,somnambulate
brownhis;
badtempered;
rapaport;
skater;field,chain,hemipterous,baggy,gerridae,subculture
